question_no,question,option_a,option_b,option_c,option_d,answer,explanation,unit,topic
1,"A neuron with 4 inputs has a weight vector w = [1, 2, 3, 4]ᵀ and a bias 0. The activation function is linear, given by f(net) = 2 * net. If the input vector is [4, 8, 5, 6] then the output of the neuron will be",59,56,112,118,c,"net = wᵀx = (1 * 4) + (2 * 8) + (3 * 5) + (4 * 6) = 4 + 16 + 15 + 24 = 59
output = f(net) = 2 * net = 2 * 59 = 118",Artificial Intelligence (AI),Artificial Neural Networks (ANN)
2,"The equations 3x – y ≥ 3 and 4x – 4y ≥ 4, have",solution for positive x and y.,no solution for positive x and y.,solution for all x.,solution for all y.,a,"The solution for the system of inequalities is the intersection of the regions defined by each inequality. In this case, the first inequality 3x - y ≥ 3 represents the region above the line 3x - y = 3, and the second inequality 4x - 4y ≥ 4 represents the region above the line x - y = 1. The intersection of these regions is the region where both inequalities are satisfied, which includes positive values for both x and y.",Discrete Structures and Optimization,Optimization
3,Which of the following manages the switching function in GSM?,BSS,MSC,NSS,OSS,b,"MSC (Mobile Switching Center) is the primary service delivery node for GSM, responsible for routing voice calls, SMS, and other services. It performs switching functions in a GSM network.",Data Communication and Computer Networks,Mobile Technology
4,"Consider the following two statements.
S1 : In SaaS, cloud service model applications are provisioned.
S2 : Amazon’s Elastic Computing Cloud (EC2) is a well-known cloud storage.",S1 is correct but S2 is not correct.,S1 is not correct but S2 is correct.,Both S1 and S2 are correct.,Neither S1 nor S2 are correct.,a,"S1 is correct because SaaS (Software as a Service) provides access to software applications over the internet. S2 is incorrect because Amazon EC2 is primarily an IaaS (Infrastructure as a Service) offering, providing virtualized computing resources, not cloud storage. Amazon S3 is the cloud storage service.",Data Communication and Computer Networks,Cloud Computing and IoT
5,Match the following:,"(a)–(4), (b)–(3), (c)–(1), (d)–(2)","(a)–(2), (b)–(3), (c)–(1), (d)–(4)","(a)–(2), (b)–(1), (c)–(4), (d)–(3)","(a)–(4), (b)–(3), (c)–(2), (d)–(1)",b,"Context-free grammar is related to lexical and syntax rules. Code optimization techniques often involve code movement. Global register allocation is a form of linear scan, and semantic analysis involves type checking.",Theory of Computation and Compilers,Context Free Language
6,"Consider the following relation in a database:
Works (employee_name, company_name, salary), where the employee_name is the primary key.
Which of the following query always finds those distinct company names whose employee average salary is greater than employee average salary at ‘Samsung’?","select company_name
from Works
group by company_name
having avg (salary) > (select avg (salary)
from Works
where company_name = 'Samsung')","select company_name
from Works as w₁
where (select avg (salary)
from Works
where company_name = w₁.
company_name) > (select avg
(salary)
from Works
where company_name = 'Samsung')",Both (A) and (B),Neither (A) nor (B),c,"Both queries achieve the same result by calculating the average salary for each company and comparing it with the average salary of employees at 'Samsung'.
Query A uses a `HAVING` clause to filter groups based on the average salary.
Query B uses a correlated subquery to achieve the same comparison.
Therefore, both queries correctly identify the companies meeting the specified criteria.",Database Management Systems,SQL
7,What is needed by K-means clustering?,Distance metrics,Number of clusters,Initial guess to the cluster Centroids,All of the above,d,"K-means clustering requires distance metrics to determine the similarity between data points, the number of clusters (K) to be formed, and initial guesses for the cluster centroids to start the iterative process.",Database Management Systems,Data Warehousing and Data Mining
66,Computers can only perform __________; multiplication is performed using __________.,Addition; Shifting operation,Addition; Booth's algorithm,"Addition, subtraction; Booth's algorithm",Addition; Restoring method,B,"Computers fundamentally perform addition operations. Multiplication can be efficiently performed using Booth's algorithm, which utilizes addition and shifting.",Computer System Architecture,Data Representation
67,Agile model advocates which one of the following approaches?,"In each increment, get something “quick and dirty” delivered and thereby save time.","In each increment, get something simple released as quickly as possible.","In each increment, get something of business value delivered as quickly as possible, consistent with the right level of quality.","In each increment, get something delivered once it has been fully documented and the documentation has been signed off as complete.",C,"Agile methodology emphasizes delivering working software frequently, with a focus on business value and quality. Option C aligns with the core principles of Agile development.",Software Engineering,Software Process Models
68,Consider the following requirement for a word-processor software: “The software should provide facility to import an existing image available as a jpeg file into the document being created.” Which one of the following types of requirements is this?,Functional requirement,Non-functional requirement,Constraints on the implementation,Goal of implementation,A,"This requirement describes a specific function that the software must perform (importing a JPEG image). Therefore, it is a functional requirement.",Software Engineering,Software Requirements
